2025-01-17;10;17;19;25;28;34;41;33
2025-01-14;9;12;13;25;27;44;48;14
2025-01-10;1;2;11;19;27;28;36;21
2025-01-07;14;20;21;24;26;35;44;34
2025-01-03;3;10;19;27;33;37;38;7
2024-12-31;7;9;11;16;17;20;33;48
2024-12-27;2;6;13;31;35;37;39;49
2024-12-24;2;10;15;16;31;34;43;46
2024-12-20;5;6;7;24;27;29;32;47
2024-12-17;13;16;27;39;43;45;50;36
2024-12-13;2;17;20;22;32;33;47;24
2024-12-10;3;6;22;30;32;40;46;19
2024-12-06;8;21;29;31;37;38;41;12
2024-12-03;9;14;21;26;29;32;41;47
2024-11-29;6;17;26;29;30;39;49;2
2024-11-26;20;24;31;33;36;41;49;50
2024-11-22;4;6;9;21;40;42;43;24
2024-11-19;2;10;16;18;22;44;50;42
2024-11-15;2;7;10;14;27;32;35;44
2024-11-12;1;12;13;24;28;36;39;35
2024-11-08;2;16;25;38;40;41;44;26
2024-11-05;1;2;9;22;26;32;47;35
2024-11-01;7;16;22;28;30;34;41;44
2024-10-29;20;26;28;29;35;39;47;46
2024-10-25;3;15;23;24;31;33;47;22
2024-10-22;7;8;23;30;32;33;49;22
2024-10-18;6;12;13;21;24;30;47;34
2024-10-15;8;12;19;20;26;32;46;27
2024-10-11;7;20;24;33;44;48;49;43
2024-10-08;10;11;13;20;22;27;48;21
2024-10-04;2;9;20;27;40;45;49;50
2024-10-01;11;12;28;32;36;38;41;44
2024-09-27;4;6;8;16;21;36;50;9
2024-09-24;1;11;21;38;40;43;45;20
2024-09-20;4;8;26;32;35;36;37;33
2024-09-17;2;4;11;16;25;29;47;34
2024-09-13;9;12;13;15;29;30;41;47
2024-09-10;5;16;22;24;31;33;38;30
2024-09-06;5;16;18;20;23;28;39;8
2024-09-03;4;6;10;22;32;39;50;19
2024-08-30;6;7;10;14;28;29;46;44
2024-08-27;4;17;25;38;41;46;50;14
2024-08-23;4;5;9;15;33;37;42;30
2024-08-20;2;11;12;21;24;38;39;33
2024-08-16;5;7;12;18;33;40;50;15
2024-08-13;13;28;30;34;40;45;49;9
2024-08-09;11;16;22;25;31;41;44;30
2024-08-06;7;12;13;30;38;46;48;28
2024-08-02;3;18;26;28;37;39;40;16
2024-07-30;1;4;11;35;42;45;49;36
2024-07-26;3;8;15;29;34;38;39;17
2024-07-23;4;12;14;16;27;35;41;32
2024-07-19;1;3;17;18;20;23;29;35
2024-07-16;10;11;18;26;36;40;49;28
2024-07-12;6;7;8;11;35;41;44;10
2024-07-09;19;22;29;33;41;45;50;44
2024-07-05;2;6;14;19;25;27;44;32
2024-07-02;1;10;11;16;19;23;39;50
2024-06-28;1;5;11;12;13;23;33;21
2024-06-25;3;11;28;40;43;44;45;4
2024-06-21;8;12;32;33;34;46;47;13
2024-06-18;17;19;32;34;37;44;45;22
2024-06-14;5;11;29;31;38;39;49;41
2024-06-11;3;30;39;44;45;47;49;46
2024-06-07;2;3;12;15;32;33;36;9
2024-06-04;5;6;12;15;18;34;37;7
2024-05-31;1;4;18;19;23;28;29;43
2024-05-28;2;6;9;21;22;32;43;3
2024-05-24;1;6;9;11;31;39;50;35
2024-05-21;1;4;6;7;34;40;46;2
2024-05-17;5;13;27;28;32;45;50;44
2024-05-14;10;15;18;27;28;32;43;8
2024-05-10;2;4;14;28;29;30;43;34
2024-05-07;3;22;32;43;46;47;48;49
